SAMPLE	PWY_NAME	PWY_COMMON_NAME	NUM_REACTIONS	NUM_COVERED_REACTIONS	ORF_COUNT	WTD	OBSERVED	EXPECTED	ORFS
CENS	PYRIDOXSYN-PWY	"pyridoxal 5-phosphate biosynthesis I"	8	5	16	-1.5	root (1)	Bacteria (2)	[O_59200_0,O_39801_0,O_1772_8,O_48881_4,O_47601_0,O_1724_2,O_68949_0,O_39056_0,O_51388_0,O_16240_4,O_23874_0,O_23272_1,O_39055_2,O_77327_1,O_18689_0,O_94695_0]
CENS	PWY-7343	"UDP-glucose biosynthesis"	2	2	15	-1.5	root (1)	Eukaryota (2759)	[O_32960_0,O_39942_0,O_40234_0,O_54823_0,O_23350_0,O_32768_0,O_42216_0,O_25975_0,O_32604_0,O_24304_4,O_35865_0,O_32603_2,O_60914_0,O_25794_1,O_35909_1]
CENS	PWY-7340	"9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)"	10	2	13	-1.875	root (1)	Fungi (4751)	[O_73975_1,O_45423_0,O_44201_0,O_47582_3,O_39949_1,O_11610_0,O_14529_1,O_20303_1,O_65702_0,O_54967_0,O_24578_0,O_34718_0,O_51257_0]
CENS	PWY-7346	"UDP-alpha-D-glucuronate biosynthesis (from UDP-glucose)"	1	1	24	-1.5	root (1)	Archaea (2157)	[O_84555_0,O_58148_0,O_25794_0,O_30062_1,O_63197_0,O_82568_1,O_79855_0,O_74846_1,O_29315_0,O_72810_0,O_77889_0,O_34586_0,O_29681_0,O_45286_2,O_95988_0,O_58147_2,O_58730_0,O_41263_0,O_25793_0,O_13797_5,O_72409_1,O_83933_0,O_19738_0,O_43686_0]
CENS	PWY-7344	"UDP-D-galactose biosynthesis"	1	1	22	-1.5	root (1)	Eukaryota (2759)	[O_46384_0,O_46907_0,O_20816_0,O_31585_0,O_60558_1,O_75165_2,O_3_1,O_77880_0,O_78491_0,O_49474_1,O_20086_0,O_11211_1,O_87700_0,O_30903_0,O_8318_2,O_54368_0,O_49788_0,O_40092_0,O_47909_1,O_82384_0,O_49787_1,O_67191_0]
CENS	PWY-7539	"6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)"	5	3	14	-1.99609375	root (1)	Chlamydia (810)	[O_61978_12,O_66934_0,O_22607_6,O_35605_0,O_39452_0,O_41580_0,O_21783_2,O_14234_1,O_10294_1,O_97263_1,O_14815_0,O_28713_1,O_3552_1,O_14350_0]
CENS	PWY-7533	"gliotoxin biosynthesis"	9	2	46	-1.875	root (1)	Fungi (4751)	[O_4824_8,O_96674_1,O_3876_1,O_289_0,O_16701_6,O_32527_8,O_96041_1,O_14870_0,O_56142_1,O_66734_0,O_40294_1,O_3522_0,O_60290_1,O_26789_3,O_51772_0,O_28778_0,O_94723_1,O_76795_1,O_23765_0,O_88848_0,O_65579_1,O_32666_0,O_54080_0,O_44138_3,O_32603_1,O_91040_0,O_19183_0,O_2197_0,O_20418_0,O_44909_1,O_25689_0,O_33447_0,O_69656_2,O_31218_0,O_25688_4,O_55477_2,O_93496_1,O_64221_1,O_87022_0,O_15841_1,O_86535_0,O_31217_2,O_76485_32,O_63090_0,O_16900_0,O_2454_1]
CENS	ILEUSYN-PWY	"L-isoleucine biosynthesis I (from threonine)"	7	5	68	-1.5	root (1)	Eukaryota (2759)	[O_5220_0,O_66339_0,O_23515_0,O_9300_0,O_71082_0,O_64822_0,O_86104_0,O_6452_3,O_9301_0,O_54215_0,O_5219_7,O_28035_0,O_78612_0,O_68913_0,O_68913_2,O_50223_0,O_98868_0,O_19801_1,O_47953_0,O_29018_0,O_12446_0,O_94245_0,O_17007_0,O_70413_0,O_27309_2,O_27309_1,O_64822_1,O_53200_0,O_27673_0,O_30013_0,O_54441_0,O_52665_0,O_8959_0,O_5219_5,O_95353_1,O_30703_1,O_25331_1,O_45634_0,O_7887_0,O_43837_3,O_67521_0,O_63606_1,O_5219_9,O_4882_0,O_89201_0,O_67194_0,O_38793_0,O_36763_0,O_16870_2,O_4347_0,O_85393_0,O_51216_2,O_24301_0,O_12824_0,O_54700_0,O_9599_1,O_32800_1,O_7243_0,O_88013_0,O_58640_1,O_50215_0,O_35866_2,O_56418_0,O_30704_0,O_85309_0,O_28501_0,O_43838_0,O_36763_2]
CENS	THIOREDOX-PWY	"thioredoxin pathway"	2	1	21	-1.5	root (1)	Eukaryota (2759)	[O_49725_2,O_1953_1,O_52446_2,O_26921_1,O_51717_1,O_97993_0,O_61082_0,O_88362_1,O_42320_0,O_68115_1,O_14622_0,O_74683_0,O_33835_1,O_39307_1,O_35388_0,O_43906_0,O_10437_2,O_3248_0,O_40877_2,O_50862_1,O_36769_0]
CENS	FASYN-ELONG-PWY	"fatty acid elongation -- saturated"	5	4	19	-1.5	root (1)	Bacteria (2)	[O_3351_1,O_58441_1,O_8474_0,O_88721_0,O_9499_0,O_94358_0,O_64751_0,O_86993_0,O_80660_0,O_15260_0,O_2221_1,O_15260_1,O_20313_0,O_66744_0,O_39991_0,O_4296_11,O_49767_1,O_80528_0,O_71188_0]
CENS	PWY-5143	"long-chain fatty acid activation"	1	1	44	-1.5	root (1)	Archaea (2157)	[O_93070_0,O_17971_0,O_37006_2,O_79898_0,O_41776_0,O_24835_0,O_24002_0,O_49884_0,O_90871_0,O_21176_5,O_77914_4,O_24535_1,O_77766_1,O_47952_0,O_62884_0,O_47490_0,O_77780_2,O_12744_0,O_45293_0,O_98154_0,O_14538_3,O_74899_0,O_24700_1,O_7887_1,O_96705_0,O_46497_2,O_41777_0,O_61673_2,O_4960_9,O_70122_0,O_24001_1,O_3673_0,O_76998_2,O_27408_0,O_38129_0,O_67425_0,O_94203_0,O_34774_0,O_4977_0,O_36434_0,O_71735_0,O_6583_0,O_40913_1,O_65524_1]
CENS	PWY0-1301	"melibiose degradation"	1	1	1	-1.5	root (1)	Eukaryota (2759)	[O_93090_0]
CENS	PWY-5668	"cardiolipin biosynthesis I"	3	3	11	-1.5	root (1)	Bacteria (2)	[O_72752_0,O_34542_0,O_55117_1,O_7392_0,O_34706_1,O_25853_1,O_34887_1,O_19845_0,O_7654_0,O_25494_0,O_38122_1]
CENS	PWY-5669	"phosphatidylethanolamine biosynthesis I"	2	2	15	-1.5	root (1)	Bacteria (2)	[O_38732_1,O_30321_0,O_3764_0,O_12536_7,O_32105_1,O_32105_0,O_51534_2,O_76176_0,O_71548_1,O_25363_0,O_91301_0,O_14101_0,O_11935_1,O_51534_1,O_29319_0]
CENS	PWY-5667	"CDP-diacylglycerol biosynthesis I"	4	4	26	-1.5	root (1)	Eukaryota (2759)	[O_13511_1,O_69698_0,O_69267_1,O_24628_3,O_19808_0,O_65736_0,O_18890_4,O_53018_0,O_94800_0,O_99083_2,O_59970_1,O_61372_0,O_28814_1,O_92953_1,O_48660_0,O_52594_0,O_12033_1,O_99132_1,O_1724_6,O_53890_0,O_46789_0,O_23900_2,O_99084_0,O_8123_0,O_75515_0,O_28644_0]
CENS	CYANCAT-PWY	"cyanate degradation"	3	2	11	-1.5	root (1)	Bacteria (2)	[O_78504_0,O_24213_0,O_25357_2,O_94832_0,O_9337_0,O_70239_0,O_48649_1,O_286_2,O_55509_1,O_32419_0,O_95502_1]
CENS	PWY-5148	"acyl-CoA hydrolysis"	1	1	8	-1.5	root (1)	Eukaryota (2759)	[O_1643_0,O_7540_1,O_63_3,O_40913_0,O_26198_0,O_6784_9,O_60139_0,O_25855_0]
CENS	PWY-6435	"4-hydroxybenzoate biosynthesis V"	5	4	34	-1.75	root (1)	Viridiplantae (33090)	[O_16645_2,O_30453_0,O_44201_0,O_47582_3,O_40152_3,O_21462_1,O_39949_1,O_99620_0,O_39948_1,O_71603_0,O_24578_0,O_81196_0,O_71341_1,O_73975_1,O_74137_0,O_34718_0,O_11610_0,O_14529_1,O_58534_0,O_20303_1,O_54967_1,O_54967_0,O_84464_0,O_45423_0,O_74457_0,O_49788_1,O_65702_0,O_41715_1,O_4829_2,O_8838_0,O_73065_0,O_41747_1,O_51257_0,O_47394_0]
CENS	PWY-6430	"thymine degradation"	3	1	3	-1.5	root (1)	Bacteria (2)	[O_86514_0,O_45163_0,O_90929_0]
CENS	PWY-1269	"CMP-3-deoxy-D-manno-octulosonate biosynthesis"	5	4	30	-1.75	root (1)	Viridiplantae (33090)	[O_79321_0,O_42157_1,O_3632_0,O_56170_0,O_61897_1,O_90973_1,O_89614_0,O_21319_0,O_95590_0,O_38166_0,O_75712_1,O_16467_1,O_76976_3,O_36509_0,O_29266_1,O_61608_0,O_6849_1,O_74849_0,O_11914_0,O_77518_5,O_4925_0,O_29160_0,O_34283_0,O_39884_6,O_39888_0,O_93761_1,O_38513_0,O_70332_1,O_32095_0,O_9731_1]
CENS	PWY-5392	"reductive TCA cycle II"	12	8	53	-1.75	root (1)	Aquificae <phylum> (200783)	[O_67873_0,O_87813_0,O_46467_1,O_16019_0,O_48139_0,O_37208_0,O_27719_0,O_98787_1,O_80166_0,O_38935_0,O_5422_0,O_27542_2,O_39635_0,O_46468_0,O_63529_1,O_86206_0,O_13071_4,O_40465_1,O_44985_0,O_53469_2,O_28016_0,O_92207_0,O_89129_1,O_10319_4,O_11094_0,O_1691_0,O_11555_1,O_84887_1,O_27506_0,O_2489_0,O_2489_1,O_90878_0,O_98882_0,O_8247_1,O_79217_0,O_35454_1,O_43512_0,O_82531_0,O_67278_1,O_6755_0,O_67873_1,O_35454_2,O_92949_0,O_70526_0,O_30659_1,O_84575_1,O_14377_1,O_47685_0,O_41062_0,O_22146_1,O_1667_0,O_71433_2,O_91666_0]
CENS	PWY-5493	"reductive monocarboxylic acid cycle"	2	2	7	-1.5	root (1)	Bacteria (2)	[O_89129_1,O_68696_0,O_67873_0,O_27506_0,O_22146_1,O_1667_0,O_53469_2]
CENS	PWY-5989	"stearate biosynthesis II (bacteria and plants)"	6	4	61	-1.5	root (1)	Bacteria (2)	[O_4960_9,O_58441_1,O_98154_0,O_77766_1,O_27408_0,O_17971_0,O_93070_0,O_37006_2,O_9499_0,O_24835_0,O_49884_0,O_71188_0,O_21176_5,O_47490_0,O_77914_4,O_24001_1,O_24002_0,O_47952_0,O_7887_1,O_62884_0,O_24535_1,O_79898_0,O_77780_2,O_12744_0,O_34774_0,O_15260_0,O_2221_1,O_80660_0,O_20313_0,O_4296_11,O_14538_3,O_3351_1,O_96705_0,O_36434_0,O_70122_0,O_8474_0,O_74899_0,O_46497_2,O_41777_0,O_64751_0,O_39991_0,O_65524_1,O_38129_0,O_41776_0,O_90871_0,O_40913_1,O_3673_0,O_61673_2,O_94203_0,O_76998_2,O_67425_0,O_94358_0,O_88721_0,O_45293_0,O_4977_0,O_24700_1,O_71735_0,O_66744_0,O_6583_0,O_80528_0,O_86993_0]
CENS	PWY-6969	"TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"	12	11	92	-1.75	root (1)	Proteobacteria (1224)	[O_70391_1,O_70391_2,O_54318_0,O_77391_1,O_98787_1,O_82531_0,O_5422_0,O_30852_0,O_86206_0,O_5077_0,O_63996_0,O_52896_0,O_25017_2,O_25017_0,O_78600_0,O_30659_1,O_14377_1,O_54639_0,O_98882_0,O_14524_0,O_70992_0,O_28123_0,O_28123_1,O_14756_1,O_27719_0,O_16019_0,O_88162_0,O_41062_0,O_38935_0,O_29590_0,O_44915_0,O_11555_1,O_10028_0,O_10028_2,O_79217_0,O_35679_0,O_35679_1,O_95365_0,O_35454_1,O_35454_2,O_38044_0,O_13480_0,O_48139_0,O_45304_0,O_80166_0,O_71939_0,O_84035_0,O_27542_2,O_27653_1,O_33482_1,O_63529_1,O_13071_4,O_78557_0,O_6893_0,O_62332_0,O_44982_1,O_67278_1,O_71433_0,O_71433_1,O_71433_2,O_38045_0,O_40465_1,O_28016_0,O_71041_2,O_71041_0,O_98071_0,O_87813_0,O_91172_0,O_33324_0,O_8209_0,O_8209_1,O_45880_1,O_67057_1,O_7634_0,O_44985_0,O_22467_6,O_88965_0,O_92207_0,O_10319_4,O_11094_0,O_1691_0,O_2489_0,O_2489_1,O_8247_1,O_39911_0,O_43512_0,O_13323_0,O_6755_0,O_67873_1,O_22806_0,O_47685_0,O_8645_2]
CENS	PWY-6964	"ammonia assimilation cycle II"	2	2	36	-1.75	root (1)	Viridiplantae (33090)	[O_46325_0,O_15300_0,O_69285_0,O_553_0,O_61029_1,O_64827_1,O_90897_0,O_33590_0,O_8796_0,O_34952_0,O_49863_0,O_21417_0,O_49862_0,O_60814_1,O_72062_0,O_8186_0,O_47018_0,O_47778_0,O_76044_0,O_99558_0,O_80817_0,O_9867_0,O_5613_0,O_37418_0,O_77974_0,O_81673_0,O_26236_0,O_26473_0,O_81064_0,O_14018_1,O_13768_0,O_79877_1,O_30313_3,O_11194_2,O_45417_0,O_34403_0]
CENS	PWY-6965	"methylamine degradation II"	3	1	1	-1.5	root (1)	Bacteria (2)	[O_42556_2]
CENS	P108-PWY	"pyruvate fermentation to propanoate I"	7	5	56	-1.5	root (1)	Bacteria (2)	[O_34288_0,O_81373_0,O_87813_0,O_19744_0,O_10120_0,O_2810_0,O_37208_0,O_27719_0,O_16019_0,O_5390_0,O_92207_0,O_17035_0,O_5422_0,O_66_0,O_27542_2,O_16684_1,O_46468_0,O_63529_1,O_16684_0,O_86206_0,O_13071_4,O_33044_0,O_75549_0,O_38892_0,O_38935_0,O_89348_0,O_28016_0,O_66912_2,O_46467_1,O_4540_0,O_28399_0,O_10319_4,O_11555_1,O_84887_1,O_90878_0,O_98882_0,O_39635_0,O_71053_0,O_43512_0,O_82531_0,O_43081_1,O_6755_0,O_51917_1,O_71433_2,O_89867_0,O_97272_1,O_70526_0,O_35454_1,O_84575_1,O_14377_1,O_40465_1,O_41062_0,O_41521_1,O_46407_1,O_92949_0,O_91666_0]
CENS	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	"protocatechuate degradation II (ortho-cleavage pathway)"	4	3	17	-1.5	root (1)	Bacteria (2)	[O_70452_0,O_56415_2,O_56415_1,O_56415_0,O_14937_1,O_58152_2,O_1642_1,O_63954_1,O_99252_0,O_48055_2,O_48101_1,O_72596_2,O_69409_0,O_91182_0,O_87847_0,O_37467_1,O_17780_2]
CENS	PWY-4921	"protein citrullination"	1	1	3	-1.875	root (1)	Bacteroidetes/Chlorobi group (68336)	[O_10074_3,O_53391_0,O_62073_1]
CENS	FERMENTATION-PWY	"mixed acid fermentation"	16	15	90	-1.5	root (1)	Bacteria (2)	[O_16990_7,O_98787_1,O_6474_6,O_6474_7,O_5422_0,O_30982_3,O_46468_0,O_49312_0,O_27243_0,O_34571_0,O_82531_0,O_84887_1,O_75926_3,O_79203_1,O_68696_0,O_8006_3,O_22467_6,O_84575_1,O_14377_1,O_41062_0,O_91666_0,O_14524_0,O_67688_0,O_27719_0,O_16019_0,O_48100_2,O_7621_0,O_26357_0,O_92049_0,O_92517_0,O_37937_0,O_14559_1,O_38935_0,O_56436_0,O_81276_0,O_44915_0,O_11555_1,O_98882_0,O_35454_1,O_4296_8,O_15933_1,O_48409_0,O_50234_0,O_32344_1,O_13480_0,O_68550_2,O_30535_1,O_37208_0,O_50185_1,O_71939_0,O_84035_0,O_27542_2,O_63529_1,O_13071_4,O_46467_1,O_2488_1,O_90878_0,O_29386_0,O_11447_0,O_53679_0,O_63996_0,O_82512_0,O_71433_2,O_21729_3,O_70526_0,O_40465_1,O_28016_0,O_92949_0,O_87813_0,O_33324_0,O_86206_0,O_21115_1,O_44985_0,O_96668_0,O_88965_0,O_92207_0,O_10319_4,O_11094_0,O_1691_0,O_99476_1,O_72084_13,O_39635_0,O_39911_0,O_43512_0,O_13323_0,O_6755_0,O_10350_0,O_47685_0,O_9223_1,O_8645_2]
CENS	GLUGLNSYN-PWY	"L-glutamate biosynthesis IV"	1	1	6	-1.75	root (1)	Viridiplantae (33090)	[O_27403_0,O_15199_1,O_27403_1,O_28196_0,O_69285_1,O_52978_0]
CENS	ARGININE-SYN4-PWY	"L-ornithine biosynthesis II"	4	4	29	-1.875	root (1)	Metazoa (33208)	[O_24975_5,O_51185_0,O_1275_3,O_62472_0,O_85985_0,O_27567_1,O_27567_0,O_74019_0,O_96630_0,O_64873_0,O_71175_2,O_80460_0,O_1276_0,O_43179_0,O_71644_1,O_49521_0,O_28592_1,O_55842_0,O_28592_3,O_90386_0,O_15434_0,O_28789_0,O_33673_0,O_85077_0,O_46923_0,O_6937_0,O_83984_0,O_6936_0,O_69408_1]
